time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how,attempt_suicide
5/17/2016 20:04:18,Male,Straight,35,"$30,000 to $39,999",White non-Hispanic,Normal weight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Employed for wages,mechanical drafter,Associate degree,None,Yes
5/17/2016 20:04:30,Male,Bisexual,21,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups,No
5/17/2016 20:04:58,Male,Straight,22,$0 ,White non-Hispanic,Overweight,Yes,No,No,10,Yes,Yes,I don't want help,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise,No
5/17/2016 20:08:01,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,8,Yes,Yes,date coaching,A student,student,"Some college, no degree",Joined a gym/go to the gym,No
5/17/2016 20:08:04,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,No,No,Yes and I have,10,No,Yes,I don't want help,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 20:09:09,Male,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2,Yes,Yes,date coaching,Employed for wages,game programmer,Bachelors degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups",Yes
5/17/2016 20:10:56,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,No,2,Yes,Yes,"Set me up with a date, date coaching",Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None,No
5/17/2016 20:11:13,Female,Gay/Lesbian,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,No,No,10,Yes,Yes,"wingman/wingwoman, date coaching",Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling",Yes
5/17/2016 20:11:52,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,Yes,Set me up with a date,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/17/2016 20:13:37,Male,Straight,33,"$50,000 to $74,999",White non-Hispanic,Overweight,No,No,Yes but I haven't,6,Yes,Yes,Set me up with a date,Employed for wages,Software Engineer ,Masters degree,Therapy,Yes
