trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,10,-127.7376169068877,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-104.10475319377046,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-51.37746593886595,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-119.58955065624448,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-19.077737143137952,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-63.394978513819474,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-262.12447471759134,"{0: 21, 1: 1, 2: 6, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-54.04264298986888,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-140.04173889694022,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-51.37668095586972,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-16.16859937365904,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,2.103267533674301,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-168.88014210086405,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,6,-103.67718526778829,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-63.50126395977004,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,11,-27.770688583987233,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,5.2489960862554685,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-33.07311046998592,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,15,29.05482605890233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,23.21923062198539,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,8.30787978316121,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,12,-28.38869497654067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,17.82757242236346,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,22.844258933852018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,15.10228631102187,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,11,17.75973380857991,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,15.98296176578936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,16,13.258817405008092,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,11.448522007773203,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,28.326479502013697,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
