trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999875000260416}",20,0,-43.212028533539424,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-146.57557818002448,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9998875021093592}",25,0,-169.09215819351965,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-33.02434985724989,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9996875162757026}",20,0,-117.04054872374994,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-148.0396397443683,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9993875625234886}",30,0,-77.25236435009944,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-104.76883696369889,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9989876708478425}",25,0,-46.10914706811944,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,14,-3.5745753151741226,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9984878812375985}",20,0,-147.75331615269286,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,6,-111.77087859747617,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.01, 'e': 0.9978882436713011}",25,0,-113.88665471773353,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9975510002532796}",35,20,-48.41794116578535,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9971888181122075}",20,0,-218.04710060473215,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-178.08505616744358,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9963896745022904}",25,0,-163.22956538882417,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,12,-34.85134500349329,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9954908927552453}",25,0,-127.61338172497148,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-133.92493737041704,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9944925627484974}",20,5,-63.72986919114223,"{0: 6, 1: 5, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-76.96217424482784,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9933947843142158}",20,0,-103.23110588817818,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-150.0838686078079,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
