trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.27033717592028,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.11945356810567,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,2,-60.421570276709105,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.10616287135025,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.80646139653463,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.1028881886881,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.30387802872819,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-233.4790941918799,"{0: 12, 1: 5, 2: 8, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-61.88649305048012,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.2537547839951,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,12,-152.18929382133626,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.30834308809003,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-91.97467867553198,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.51406064948677,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.1501106735817,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.4878541019944,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.05818988469545,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.462191421986,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.12718183244542,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,14,2.236548609028134,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.75833130956056,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.10712689686073,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.90413451489792,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.02305227077917,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,8,-136.3465192130963,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.86134352138662,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.6759919896356,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.67138698481716,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.82096269848468,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-133.08891879800817,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
